Atomic Number,Abbreviation,AtomicVolume,AtomicWeight,BoilingT,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HeatCapacityMass,HeatCapacityMolar,HeatFusion,HHIp,HHIr,ICSDVolume,IonizationEnergies_1,IonizationEnergies_2,IonizationEnergies_3,IonizationEnergies_4,IonizationEnergies_5,IonizationEnergies_6,IonizationEnergies_7,IonizationEnergies_8,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingT,MendeleevNumber,MiracleRadius,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,n_ws^third,OxidationStates,phi,Polarizability,Row,ShearModulus,SpaceGroupNumber,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
103,Lr,,262,,,,3,,,,,,4.9,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,4.9,,,,,,,,0,1,1,1,0,0,1900,42,,0,0,0,14,5,1,0,2,103,5,17,,3 4,,,7,,,,,,,
104,Rf,,265,,,,4,,,,,,6,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,6,,,,,,,,0,1,0,1,0,0,,,,8,2,0,14,0,0,0,2,104,8,18,,2 4,,,7,,,,,,,
105,Db,,268,,,,5,,,,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,7,3,0,14,0,0,0,2,105,7,19,,1 3,,,7,,,,,,,
106,Sg,,271,,,,6,,,,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,6,4,0,14,0,0,0,2,106,6,20,,1 2,,,7,,,,,,,
107,Bh,,272,,,,7,,,,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,5,5,0,14,0,0,0,2,107,5,21,,,,,7,,,,,,,
108,Hs,,270,,,,8,,,,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,4,6,0,14,0,0,0,2,108,4,22,,,,,7,,,,,,,
109,Mt,,276,,,,9,,,,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,3,7,0,14,0,0,0,2,109,3,23,,,,,7,,,,,,,
110,Ds,,281,,,,10,,,,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,1,9,0,14,0,0,1,1,110,2,24,,,,,7,,,,,,,
111,Rg,,280,,,,11,,,4.06,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,0,10,0,14,0,0,1,1,111,1,25,,,,4.06,7,,,,,,,
112,Cn,,285,,,,12,,,,,,,,0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,,,,,,27.31,,,,,,,,,0,1,0,1,0,0,,,,0,10,0,14,0,0,0,2,112,0,26,,,,,7,,,,,,,
,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,None_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
