,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,Wt(g),NH3,Space Velocity,Ramp Direction,Temperature,Pred Value,Concentration
189,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,250,0.0044899670151026,0.5719564778935522
190,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,300,0.00046957932814449804,0.955233437383558
191,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,300,6.39558397496718e-05,0.9939028766105312
192,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,300,0.000215200040979214,0.9794842627599816
193,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,down,300,0.000254901527256643,0.9756993877348668
194,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,down,300,0.000246092886600564,0.9765391448107462
195,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,down,300,0.000313661248070173,0.9700976276839768
196,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,350,0.0,1.0
197,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,350,0.0,1.0
198,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,350,0.0,1.0
199,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,down,350,0.0,1.0
200,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,down,350,0.0,1.0
201,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,down,350,0.0,1.0
202,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,400,0.0,1.0
203,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,400,0.0,1.0
204,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,400,0.0,1.0
205,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,450,0.0,1.0
206,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,450,0.0,1.0
207,33,Ru,3.0,Mg,1.0,K,12.0,9.0,0.2,0.01048951048951049,2259.4,up,450,0.0,1.0
208,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,down,250,0.00517086684077405,0.6543035764971237
209,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,down,250,0.00489581297012949,0.6726922030621452
210,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,down,250,0.00492524370345081,0.6707246220813277
211,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,250,0.00444427586977533,0.7028795518138925
212,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,250,0.0043762447547782395,0.7074277472839362
213,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,250,0.00426642417036621,0.7147697625450662
214,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,300,0.000671373707651717,0.9551155547578708
215,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,300,0.00043794404453252795,0.9707214100553756
216,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,300,0.000661278466726774,0.9557904684212112
217,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,down,300,0.000742972113584289,0.9503288693487196
218,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,down,300,0.00054690816700963,0.9634366532456594
219,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,down,300,0.00076241012487985,0.9490293481674938
220,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,350,0.00031867081821826697,0.9786953782557084
221,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,350,0.000319345485332744,0.97865027363095
222,32,Ru,4.0,Y,0.5,K,12.0,10.0,0.2,0.014957825679475172,2107.3250000000007,up,350,0.000538481288408468,0.9640000291521408
223,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,250,0.00775808999631512,0.2639275588861994
224,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,250,0.00764324600296568,0.2748237328893536
225,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,250,0.00766000853298564,0.2732333367484354
226,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,250,0.0075092942951132296,0.287532809561208
