,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
163,0.04320224126180013,0.0010011990865071614,-0.19323210718660136,-0.07527860701604205,mae,3,auto,50,0.4,3,5,10,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 3, 'criterion': 'mae'}",914,-0.1552533018998854,-0.00469589151311145,-0.14980040636984726,-0.09219431068212369,-0.27170006487669296,-0.12894561885289102,0.0020969907607442198,2.9736021254650284e-07,0.05655928368792906,0.052115925006287075
164,0.43021170298258465,0.0050038496653238935,-0.19323210718659972,-0.07527860701604132,mae,10,auto,50,0.4,3,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'mae'}",649,-0.15525330189988207,-0.004695891513110784,-0.14980040636984682,-0.09219431068212325,-0.27170006487669185,-0.1289456188528899,0.005841142086741964,5.947204250930057e-07,0.056559283687929396,0.05211592500628695
165,0.15128803253173828,0.0018351078033447266,0.4171080527544298,0.4818577996611511,mae,3,auto,50,0.1,2,10,25,"{'n_estimators': 25, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 3, 'criterion': 'mae'}",241,0.43197404710952925,0.44666291493330085,0.4652801988130575,0.4567457176680779,0.3563483993436085,0.5421647663820744,0.002954337755961332,0.0004720447434618672,0.04580053015043627,0.042841672890275316
166,0.022685925165812176,0.0010017553965250652,0.43196917920930455,0.5347468333704642,mae,10,sqrt,20,0,2,10,10,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'mae'}",229,0.40590021357430417,0.49613523106404783,0.4101013003629398,0.5106984537589196,0.4781733666612227,0.5974068152884253,0.0006241599361399025,4.49566384116203e-07,0.033321864905095484,0.044704413386036895
167,0.08974107106526692,0.002834320068359375,0.2798816519869286,0.4155155073135157,mae,3,sqrt,,0,2,10,50,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 3, 'criterion': 'mae'}",483,0.3846908741590005,0.45995684418405325,0.17966261549287754,0.3455874795452255,0.27545737663461944,0.4410021982112683,0.0016527527328905934,0.00023588431046930053,0.08324516140061913,0.05004841956652561
168,0.019681692123413086,0.0008345444997151693,0.3143535135948524,0.46395396726928406,mae,,sqrt,5,0,5,5,10,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'mae'}",458,0.4138846474292651,0.5203781932477398,0.17808753603274974,0.36804870666176936,0.3497605918866018,0.503435001898343,0.0008515991923662512,0.0002360795306493456,0.09900831196136478,0.06816710933395984
169,0.968752940495809,0.005170504252115886,0.6609092828116981,0.8527663394625061,mae,3,auto,50,0,3,10,100,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 3, 'criterion': 'mae'}",85,0.6842995368973414,0.8519813446228082,0.6982730419469044,0.8719435347023395,0.6023511977795537,0.8343741390623709,0.00785633262556672,0.00023624745566615618,0.04255538402493315,0.015347682449627111
170,0.1049176851908366,0.0020020008087158203,-0.19323210718660097,-0.07527860701604176,mae,,auto,5,0.4,1,10,25,"{'n_estimators': 25, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 5, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",829,-0.1552533018998854,-0.00469589151311145,-0.14980040636984682,-0.09219431068212325,-0.2717000648766923,-0.12894561885289058,0.002720563544723654,0.0007080670549830197,0.05655928368792886,0.052115925006286874
171,0.09290758768717448,0.00266877810160319,0.34822822379807855,0.4707269292284673,mae,10,sqrt,5,0,3,2,50,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'mae'}",416,0.40348598384047263,0.49751097135923994,0.318456184206403,0.4771646683232577,0.32366367396606077,0.4375051480029043,0.0017014359697303714,0.0002360785675241707,0.03877056979116681,0.024916635308663213
172,0.04220000902811686,0.0011680920918782551,-0.19323210718660136,-0.07527860701604205,mae,3,auto,50,0.4,3,10,10,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 3, 'criterion': 'mae'}",914,-0.1552533018998854,-0.00469589151311145,-0.14980040636984726,-0.09219431068212369,-0.27170006487669296,-0.12894561885289102,0.0008504455959650988,0.00023680941288499943,0.05655928368792906,0.052115925006287075
173,0.41800276438395184,0.0050049622853597,-0.19323210718659972,-0.07527860701604132,mae,,auto,5,0.4,5,5,100,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 5, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",649,-0.15525330189988207,-0.004695891513110784,-0.14980040636984682,-0.09219431068212325,-0.27170006487669185,-0.1289456188528899,0.006147448178773519,6.25769923052137e-07,0.056559283687929396,0.05211592500628695
174,0.12460041046142578,0.0053373972574869795,-0.1294443294953054,-0.011125900153963272,mae,5,sqrt,5,0.1,3,10,100,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'mae'}",599,-0.09882236093478536,0.04060165080248357,-0.11303716476183268,-0.05766691191610773,-0.17477361459794905,-0.01631243934826565,0.0021627395732722672,0.00023596665773014723,0.03315357458249675,0.04028525575033587
175,0.03219286600748698,0.0016678969065348308,-0.08388872386009977,0.02131882860158496,mae,10,sqrt,5,0.1,2,10,25,"{'n_estimators': 25, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'mae'}",508,0.027768114815721723,0.13466134505874205,-0.05679219051746021,-0.0037330050708528346,-0.2176269137574116,-0.06697185418313434,0.0006237769220809414,0.00023591004038292195,0.1022513590651559,0.08420088098071252
176,0.09357500076293945,0.003336191177368164,0.3007282585458852,0.4368574719065941,mae,10,sqrt,5,0,5,10,50,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'mae'}",467,0.37360696637107627,0.4927923910944159,0.23285208005000493,0.38646750883218095,0.29590654352968204,0.4313125157931853,0.00216119402377855,0.0004718761259665186,0.05721262755162898,0.0435836747016147
177,0.5619527498881022,0.005504051844278972,0.3791679620243632,0.4561928457153554,mae,,auto,20,0.1,5,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",322,0.38592664435573165,0.40946064881043837,0.4526453735791132,0.4541430402780016,0.3018319679172612,0.504974848057626,0.040076586197753325,0.0010806337871061909,0.06192986310254514,0.03902043773209215
178,0.013344367345174154,0.0008334318796793619,-0.19323210718660136,-0.07527860701604205,mae,5,sqrt,50,0.4,2,5,10,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'mae'}",914,-0.1552533018998854,-0.00469589151311145,-0.14980040636984726,-0.09219431068212369,-0.27170006487669296,-0.12894561885289102,0.0018854252216977457,0.00023630335069714186,0.05655928368792906,0.052115925006287075
179,0.41199835141499835,0.0018349488576253254,0.7448660030892185,0.990292384587728,mae,,auto,50,0,1,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",6,0.7105057880779208,0.98983045280306,0.8159157878723119,0.9882390725676387,0.7095025623453188,0.992807628392485,0.011681233524970039,0.00023557278527689036,0.04977700303593715,0.0018934908346665425
180,0.211669921875,0.0031697750091552734,-0.19323210718659997,-0.07527860701604124,mae,,auto,,0.4,3,5,50,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': None, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",746,-0.1552533018998834,-0.004695891513111006,-0.14980040636984615,-0.0921943106821228,-0.27170006487669185,-0.1289456188528899,0.0028608958957859225,0.0006249662110431827,0.056559283687929264,0.0521159250062868
181,0.05320962270100912,0.002002080281575521,0.3939742750026354,0.5145135092622308,mae,5,sqrt,50,0,5,10,25,"{'n_estimators': 25, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'mae'}",276,0.3910158079920216,0.5315416404705486,0.36713271854923135,0.50495660209951,0.4226971891848213,0.5070422852166339,0.00047125993228218295,0.00040851079949724874,0.02284436659792384,0.012070776220608988
182,0.031525214513142906,0.0018512407938639324,-0.13527706264303258,-0.02063580168792356,mae,,sqrt,5,0.1,5,5,25,"{'n_estimators': 25, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'mae'}",612,-0.10383701127246736,0.03812386126738454,-0.02517824919617584,0.028914352521735354,-0.2717000648766923,-0.12894561885289058,4.052336624139774e-07,0.0004923335512312051,0.10331044338069047,0.07667883729585144
183,0.12259626388549805,0.0060049692789713545,-0.13105101620127546,-0.01606976991811308,mae,10,sqrt,5,0.1,5,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'mae'}",601,-0.10383701127246425,0.038123861267384984,-0.049003987415818795,0.0013580854105658124,-0.23636285592587103,-0.08769125643229003,0.002278214942258375,0.0007078422717909617,0.07904532734634835,0.052821451238827775
184,0.15245517094930014,0.0010009606679280598,0.7375331258374329,0.9740983880116004,mae,10,auto,50,0,2,2,10,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 10, 'criterion': 'mae'}",8,0.7044731206712901,0.9689552907365715,0.7792316595855792,0.9764648934582167,0.729206833228273,0.9768749798400133,0.0030661551374481966,2.247831920581015e-07,0.030918230535227537,0.003640570458544632
185,0.10274855295817058,0.001668850580851237,-0.19323210718660097,-0.07527860701604176,mae,,auto,50,0.4,1,10,25,"{'n_estimators': 25, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': None, 'criterion': 'mae'}",829,-0.1552533018998854,-0.00469589151311145,-0.14980040636984682,-0.09219431068212325,-0.2717000648766923,-0.12894561885289058,0.004647315246662133,0.0002357418750166265,0.05655928368792886,0.052115925006286874
186,0.20566503206888834,0.005171140034993489,0.40128308160164744,0.5233923216377302,mae,5,sqrt,,0,5,2,100,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'mae'}",261,0.4065944703760913,0.5362793951102338,0.36761631278214213,0.48992456883838975,0.428613568392068,0.5439730009645671,0.0010814431503954759,0.00023647223855325928,0.025250211347154158,0.023872798339515763
187,0.21600755055745444,0.0053377946217854815,0.4526771284454901,0.5677255788232372,mae,5,sqrt,20,0,3,5,100,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'mae'}",215,0.4281047601395154,0.5376091691924925,0.49038920736494074,0.6166321691679673,0.44001234713129644,0.5489353981092517,0.00224962467209457,0.0002360795306493456,0.02686600643763596,0.0348899393305018
188,0.19700352350870767,0.005337238311767578,0.2952087109375356,0.4018946714742806,mae,10,sqrt,5,0,2,10,100,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'mae'}",472,0.36928121521339197,0.44894197911610184,0.26448837507708123,0.4051926790699549,0.2534234883684734,0.35154935623678507,0.0040251573215242566,0.0004717076892080888,0.05209031388255895,0.03982870312060594
