,X,Y,Yfit
448,603.989,25.5,0.00763809
449,605.019,27,0.00751767
450,606.047,26,0.00740043
451,607.077,26.5,0.00728585
452,608.105,29.5,0.00717426
453,609.133,27,0.00706535
454,610.163,26.5,0.00695882
455,611.19,31,0.00685512
456,612.218,29,0.00675375
457,613.246,31,0.00665473
458,614.273,23.5,0.00655808
459,615.299,26.5,0.00646373
460,616.326,29,0.00637142
461,617.353,29,0.00628119
462,618.378,28,0.00619314
463,619.405,33,0.00610686
464,620.43,29.5,0.00602264
465,621.455,32,0.00594025
466,622.481,28.5,0.00585955
467,623.506,31.5,0.00578066
468,624.531,26.5,0.00570345
469,625.555,24,0.00562793
470,626.58,27,0.00555392
471,627.602,26.5,0.00548165
472,628.626,28,0.00541073
473,629.65,29,0.00534126
474,630.673,24.5,0.00527327
475,631.696,27.5,0.00520664
476,632.718,25.5,0.0051414
477,633.74,30,0.00507746
478,634.762,27.5,0.00501478
479,635.785,25.5,0.00495326
480,636.807,26.5,0.00489299
481,637.827,29,0.004834
482,638.848,24,0.00477608
483,639.869,28.5,0.00471925
484,640.89,26,0.0046635
485,641.91,24.5,0.00460885
486,642.93,29.5,0.00455521
487,643.95,23.5,0.00450255
488,644.969,26,0.00445092
489,645.989,25,0.00440018
490,647.008,25,0.0043504
491,648.026,27.5,0.00430156
492,649.045,26,0.00425355
493,650.063,29,0.00420643
494,651.082,24,0.0041601
495,652.098,28.5,0.00411471
496,653.116,28,0.00407002
497,654.133,28,0.00402615
498,655.15,24,0.00398302
499,656.167,29,0.00394064
500,657.183,24,0.00389901
501,658.2,27,0.00385804
502,659.216,26,0.0038178
503,660.231,25.5,0.00377826
504,661.247,26,0.00373934
505,662.262,27,0.00370109
506,663.276,26.5,0.0036635
507,664.291,24.5,0.00362649
508,665.306,29.5,0.00359007
509,666.319,29,0.00355431
510,667.333,24.5,0.00351907
511,668.347,28,0.0034844
512,669.36,23,0.00345031
513,670.373,25.5,0.00341674
514,671.386,27,0.0033837
515,672.398,25,0.0033512
516,673.411,27,0.00331917
517,674.423,28,0.00328766
518,675.435,28,0.00325663
519,676.446,30.5,0.0032261
520,677.458,28,0.00319599
521,678.468,31,0.00316639
522,679.479,26.5,0.0031372
523,680.49,27,0.00310845
524,681.5,28,0.00308014
525,682.51,25.5,0.00305225
526,683.52,30.5,0.00302476
527,684.529,28.5,0.00299769
528,685.539,27,0.00297099
529,686.547,27,0.00294472
530,687.556,27,0.00291879
531,688.565,31,0.00289324
532,689.572,26,0.00286809
533,690.58,28,0.00284327
534,691.588,31.5,0.00281879
535,692.596,30,0.00279465
536,693.602,27.5,0.0027709
537,694.609,31,0.00274744
538,695.616,33,0.0027243
539,696.623,27.5,0.00270148
540,697.629,27.5,0.00267898
541,698.634,28,0.00265681
542,699.64,27,0.00263492
543,700.645,29.5,0.00261333
544,701.651,27,0.00259201
545,702.655,25,0.00257101
546,703.66,27.5,0.00255027
547,704.664,24,0.00252982
548,705.668,31,0.00250963
549,706.672,28.5,0.0024897
550,707.675,30.5,0.00247004
551,708.679,26.5,0.00245062
552,709.682,29.5,0.00243147
553,710.684,24,0.00241257
554,711.688,27,0.00239388
555,712.689,26,0.00237547
556,713.692,27,0.00235726
557,714.694,26,0.0023393
558,715.695,26,0.00232157
559,716.696,23.5,0.00230406
560,717.697,24,0.00228676
561,718.698,27.5,0.00226968
562,719.699,28.5,0.0022528
563,720.698,23.5,0.00223616
564,721.698,23.5,0.00221971
565,722.699,26.5,0.00220343
566,723.698,27.5,0.00218738
567,724.696,26,0.00217154
568,725.696,25.5,0.00215586
569,726.695,23,0.00214037
570,727.693,25.5,0.00212508
571,728.691,26.5,0.00210997
572,729.689,24,0.00209504
573,730.686,28,0.00208029
574,731.684,23,0.0020657
575,732.681,29.5,0.00205129
576,733.678,24,0.00203705
577,734.675,24,0.00202297
578,735.671,27,0.00200906
579,736.667,26,0.00199531
580,737.662,29.5,0.00198173
581,738.659,24,0.00196827
582,739.655,29,0.00195498
583,740.648,27,0.00194187
584,741.643,29,0.00192889
585,742.638,24.5,0.00191604
586,743.633,23,0.00190334
587,744.627,24,0.0018908
588,745.621,19,0.00187838
589,746.614,26,0.00186612
590,747.607,25,0.00185399
591,748.6,25,0.00184199
592,749.593,24.5,0.00183012
593,750.585,24,0.00181839
594,751.578,24.5,0.00180677
595,752.57,25,0.00179529
596,753.562,21,0.00178393
597,754.553,28,0.00177271
598,755.545,22.5,0.00176159
599,756.535,25,0.00175061
600,757.527,27,0.00173972
601,758.517,23,0.00172897
602,759.507,23,0.00171833
603,760.497,27.5,0.0017078
604,761.487,31.5,0.00169738
605,762.476,26.5,0.00168708
606,763.466,24,0.00167688
607,764.454,27,0.0016668
608,765.443,28,0.00165681
609,766.432,23,0.00164693
610,767.419,26.5,0.00163716
611,768.407,29,0.00162749
612,769.396,25,0.00161791
613,770.383,29,0.00160844
614,771.37,24,0.00159906
615,772.357,28,0.00158979
616,773.344,25.5,0.0015806
617,774.329,28.5,0.00157153
618,775.316,23,0.00156253
619,776.302,26.5,0.00155362
620,777.287,23.5,0.00154482
621,778.273,24,0.00153609
622,779.258,27.5,0.00152746
623,780.242,23.5,0.00151893
624,781.227,24,0.00151046
625,782.211,28,0.0015021
626,783.195,26.5,0.00149381
627,784.179,24.5,0.00148561
628,785.163,25.5,0.00147748
629,786.146,29,0.00146945
630,787.129,23.5,0.00146149
631,788.111,25.5,0.00145362
632,789.095,24,0.00144581
633,790.077,28,0.0014381
634,791.058,21,0.00143046
635,792.04,24,0.0014229
636,793.021,26,0.00141541
637,794.003,26,0.00140799
638,794.984,26.5,0.00140065
639,795.965,23.5,0.00139338
640,796.946,29,0.00138619
641,797.926,25,0.00137907
642,798.906,25,0.00137202
