	X	Y	Yfit
414	568.831	36	0.715898
415	569.868	34.5	0.707954
416	570.907	33	0.701432
417	571.945	31.5	0.696302
418	572.982	33	0.692518
419	574.019	33	0.690045
420	575.057	37	0.688864
421	576.094	33.5	0.688969
422	577.129	35	0.690357
423	578.166	36	0.693045
424	579.202	33	0.697051
425	580.238	40	0.702411
426	581.273	37.5	0.709167
427	582.309	38	0.717389
428	583.343	36	0.727127
429	584.379	36.5	0.738508
430	585.413	33.5	0.751595
431	586.447	36	0.766535
432	587.481	35.5	0.78348
433	588.514	32.5	0.802584
434	589.548	34	0.824095
435	590.581	38.5	0.848214
436	591.615	37.5	0.875274
437	592.646	34.5	0.905499
438	593.679	37	0.939431
439	594.711	36	0.977447
440	595.743	34.5	1.02014
441	596.775	34.5	1.06819
442	597.806	36.5	1.12235
443	598.836	35	1.18357
444	599.867	31	1.25316
445	600.898	39.5	1.33253
446	601.928	37	1.42337
447	602.959	39.5	1.52812
448	603.989	37.5	1.64938
449	605.019	36.5	1.7908
450	606.047	35	1.9566
451	607.077	37	2.1533
452	608.105	38.5	2.38781
453	609.133	37	2.67063
454	610.163	39	3.01604
455	611.19	38	3.44055
456	612.218	38.5	3.97056
457	613.246	41.5	4.6399
458	614.273	40.5	5.49463
459	615.299	40.5	6.59724
460	616.326	39	8.03149
461	617.353	45	9.89085
462	618.378	39.5	12.2462
463	619.405	47.5	15.0771
464	620.43	47	18.0643
465	621.455	53	20.4669
466	622.481	51.5	21.316
467	623.506	48.5	20.1867
468	624.531	50	17.646
469	625.555	46.5	14.6719
470	626.58	43	11.933
471	627.602	46	9.68759
472	628.626	40	7.92794
473	629.65	39	6.57689
474	630.673	38.5	5.54294
475	631.696	37	4.74637
476	632.718	41.5	4.12791
477	633.74	36	3.64265
478	634.762	36	3.25836
479	635.785	33	2.95137
480	636.807	34	2.70497
481	637.827	34	2.50646
482	638.848	33	2.34567
483	639.869	38	2.21563
484	640.89	37.5	2.11086
