,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
30,0.1484614610671997,0.11049671173095703,-0.0571795439903379,-8.925722877382026e-05,5,sqrt,50,0.4,2,5,25,"{'n_estimators': 25, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 5}",43,-0.034164673439129656,-0.0005061976468714313,-0.14326316056947297,-4.26709195957553e-05,-0.01626712861374746,-2.238959506262184e-05,-0.07079564057780319,-4.181417378812391e-05,-0.0024027340514594098,-1.499231214063812e-06,-0.10354957111675889,-9.467460088874448e-05,-0.004051538427501944,-4.987622210839149e-05,-0.06572922225301503,-9.32543600540292e-06,-0.1235235113779083,-6.229481897435107e-05,-0.001152824101391614,-6.182964322931639e-05,0.012988759047790012,0.001704141366895391,0.05051244620332278,0.00014137953656001172
31,0.17166588306427003,0.110178542137146,-0.057747794218710874,-5.6641064124929307e-05,10,auto,5,0.4,2,5,50,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 5, 'max_features': 'auto', 'max_depth': 10}",47,-0.041695345304860965,-3.4978805051766315e-05,-0.13880841068040284,-0.0001468832325532965,-0.01552274690684574,-5.979640812103781e-05,-0.0769242185474297,-1.6185734507789817e-05,-0.003111282359334444,-3.637620832908084e-05,-0.10668486309024104,-2.713384428321142e-05,-0.002179303434615809,-8.23600558776949e-05,-0.05853599389771924,-0.00014391469248975497,-0.12629181088418684,-1.5830229705526833e-05,-0.0007819242148185968,-2.9514303301336753e-06,0.014816891217098577,0.003687699173128172,0.050489610731779384,4.93630291331007e-05
32,0.1334221363067627,0.10980265140533448,-0.06312027249887252,-0.00022623235046805856,5,sqrt,20,0.1,3,5,10,"{'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5}",98,-0.04839396425243425,-5.7994814234296754e-05,-0.15604023777075327,-8.150283227337239e-05,-0.018267878719157915,-9.059845179404391e-06,-0.09197849858692941,-0.0007917852794721014,-0.0022240388998457927,-1.0357454012011047e-05,-0.09481191566178393,-0.0005154769587540908,-0.0011243433576191286,-0.00046581924214406106,-0.06962189248548323,-0.0001178345353838317,-0.13980648929947814,-0.0002114397752674968,-0.000744657644792035,-1.0527679599192652e-06,0.007745310983848137,0.001343674439779684,0.05497783649225484,0.00025818705594458664
33,0.16716785430908204,0.11161353588104247,-0.060635091795867145,-7.034983775178194e-05,3,sqrt,5,0.1,5,5,50,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 3}",79,-0.041623766101386295,-3.677837002569184e-05,-0.1468085010287341,-4.611582776314904e-06,-0.017043075709925137,-2.807911807067853e-06,-0.0759543193997203,-5.720150544563651e-06,-0.0019791747290212047,-3.703354126516345e-05,-0.1062616505354672,-3.381853256390066e-05,-0.0030450196925511097,-9.857029195092792e-07,-0.07643162740721476,-0.0005757795381975406,-0.12942691341274193,-1.6194353191778532e-07,-0.0005731414134406698,-5.801103886149406e-06,0.007584252207301057,0.003868355565052686,0.052395050197772346,0.0001691139930768699
34,0.13204450607299806,0.11016128063201905,-0.05812468777523409,-0.00027308401367971414,5,sqrt,5,0.4,2,2,10,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.4, 'max_leaf_nodes': 5, 'max_features': 'sqrt', 'max_depth': 5}",50,-0.0473575533198185,-3.1207034354885366e-05,-0.12399194947166124,-0.000984642628961696,-0.02084837198873446,-0.00015359135521575418,-0.08583461975918372,-0.0003442750169715403,-0.0010719579312270522,-0.0003493859412049271,-0.10579305934718963,-4.209610743233227e-05,-0.004035846399147003,-4.8232594187291866e-05,-0.06665268068389518,-2.4255065242506646e-05,-0.1190129353350513,-0.0002063587895690944,-1.2206744434584136e-05,-0.0005467956036571131,0.008921479555698006,0.0026166663124367706,0.04712492299331236,0.00028899627746929556
35,0.1643066167831421,0.11015403270721436,0.36128717420737794,0.5796263787677798,,sqrt,20,0,5,2,50,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': None}",27,0.24419845649427885,0.6030919057663184,0.37384340995451804,0.5671426487951933,0.4593666559052574,0.5805714235859663,0.3266177274852968,0.5989914823784519,0.4093370745774321,0.5847789016741023,0.44527229629750686,0.6046055246313015,0.33067367757932986,0.5533493540103117,0.12788634349501438,0.5592900208800732,0.4626637319021755,0.6116642046340495,0.43300359930303334,0.5327783213220298,0.010309667067776413,0.0033647827922356423,0.10231637224875176,0.024613194214076525
36,0.16691281795501708,0.11199171543121338,-0.05990745400463675,-7.679421976689583e-05,3,auto,,0.1,3,5,50,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': None, 'max_features': 'auto', 'max_depth': 3}",73,-0.0424459839889062,-1.8892607810627737e-05,-0.1508933645170516,-8.062847922429839e-06,-0.014450771485441605,-0.00014845029041099522,-0.06858100517921817,-0.00010749531996756545,-0.002905301819341677,-1.6127373492214048e-05,-0.11545236050112484,-5.030123652316477e-05,-0.0013140570388270323,-0.0003608979214302365,-0.0649619246905202,-2.21704944136647e-06,-0.12974298602809697,-7.075474339757194e-07,-0.001122499819724787,-5.479000323638239e-05,0.010667455985524286,0.0054414815467621865,0.05384247495062098,0.00010539740387642529
37,0.13214962482452391,0.11101293563842773,0.5640749387011879,0.8215423271235505,3,auto,20,0,1,2,10,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'auto', 'max_depth': 3}",13,0.45244604269936484,0.8373662530922447,0.5640079841756209,0.8085797182099719,0.6918990021586,0.8013793617002325,0.5390818398449302,0.8164329853326074,0.6858959452870015,0.8109226470391548,0.4562253387786432,0.8406860649571408,0.6332660508030583,0.8305566357127806,0.33887749023933944,0.8257580716276006,0.5390005314942983,0.8128713416269271,0.7451285943625285,0.8308701919368433,0.00787982363372197,0.0033955209558944387,0.11995596429537005,0.012615712532262532
38,0.16406104564666749,0.11254768371582032,0.341994759409314,0.5362087863675499,5,sqrt,,0,3,10,50,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 5}",29,0.18901120239391955,0.5241980599639264,0.4064824951230708,0.5762074431292892,0.46762474609676025,0.5069855825370337,0.23893833541674392,0.533302375669295,0.41249194945900475,0.5807781935009185,0.3785258763253482,0.527176497389398,0.35905926173774927,0.550056955331418,0.20565583871229653,0.5373420455145916,0.3214276913987135,0.5027288473085096,0.44379287295299785,0.5233118633311191,0.011377473393987137,0.004697940050063586,0.0950532772720629,0.024809071438303833
39,0.13960683345794678,0.1093712329864502,0.290715996451057,0.47792357306847577,3,sqrt,20,0,1,2,25,"{'n_estimators': 25, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 3}",33,0.1875555697458986,0.5316241472486813,0.23681474983620665,0.43885150087414665,0.4402139912200117,0.48635742929282944,0.2544167806341532,0.5057565292286295,0.2976608550879727,0.49499634296442224,0.3691842711785004,0.48631236723537274,0.3255959226345092,0.5122450724810164,0.12897355528628907,0.43449904514574866,0.28435099969377686,0.4755158197919504,0.3831497792139025,0.413077476421961,0.006562485164979549,0.0026812021883520186,0.08931360859893477,0.035906129957334186
