,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
14,0.24254751205444336,0.005004167556762695,0.6340116886232028,0.9256787848531957,True,2,2,100,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",11,0.6514682747063414,0.9257292916434694,0.7283924687911248,0.9126821329752852,0.5203409229254031,0.9386249299408324,0.006660698722119388,3.371747880871523e-07,0.08571973166289472,0.010591162724989112
15,1.3506266276041667,0.030525604883829754,0.6395708249181392,0.9262213185825434,True,2,2,500,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",6,0.66341444623558,0.9235918016798863,0.7366986458641014,0.9147022333027066,0.5166162442569757,0.9403699207650372,0.13289439877943204,0.008847548634659965,0.09130679320372138,0.010642471964476126
16,0.06672390302022298,0.0015014807383219402,0.5692493636728391,0.9030447195309526,True,2,4,10,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 10}",36,0.5879851131256209,0.9061012076332342,0.6533671823000429,0.8882106120983498,0.46470967152596865,0.9148223388612737,0.0056635045653825235,0.00040851070673197313,0.07805421524741515,0.011077081142782207
17,0.2210103670756022,0.005337635676066081,0.6272453496011464,0.9259300844819913,True,2,4,50,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 50}",20,0.6623267387058447,0.9208300898233885,0.732703952033233,0.913654209370471,0.4844014237768732,0.9433059542521143,0.05374361600920406,0.002322798904304543,0.10424776356462641,0.012631018770467312
18,0.2378815015157064,0.006339470545450847,0.6403830634638876,0.9247648785451866,True,2,4,100,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",5,0.6587924467964427,0.922334708377876,0.7342761047225249,0.9116349019100364,0.5262396155187417,0.9403250253476477,0.005736867125340996,0.0012479156146396435,0.08581408130871947,0.011838076729995999
19,1.2977471351623535,0.04024521509806315,0.6358827811556056,0.9265598947637538,True,2,4,500,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",10,0.656078467886919,0.9243827042959141,0.7266590903623666,0.9149298340170251,0.5230915721693661,0.9403671459783219,0.07939286321628673,0.024619395943499437,0.08422049307639597,0.010498232508507408
20,0.025691111882527668,0.0010008811950683594,0.6218834586210835,0.8833277782469174,True,2,6,10,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 10}",23,0.6517392962188164,0.8852531257150699,0.6965660177779481,0.8604270963451109,0.5156313176573945,0.9043031126805715,0.0062824507741234695,1.9466795466607238e-07,0.07674913917066452,0.01796397180511113
21,0.1104279359181722,0.002335230509440104,0.6377898434492913,0.9002313420912339,True,2,6,50,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 50}",7,0.6988212004937652,0.8969810898663747,0.7145884856226905,0.8871995772837112,0.4977003360475188,0.9165133591236161,0.00741535010664023,0.0004719323518753975,0.09846789763702124,0.01218599075669232
22,0.22819979985555014,0.00633851687113444,0.6471395273487216,0.90332797157274,True,2,6,100,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 100}",2,0.6665017429985611,0.9001420148520431,0.7448028728867208,0.8902265960510798,0.5281955143381314,0.9196153038150973,0.008647756884426105,0.001886886312444178,0.08937064904247934,0.012207559848425092
23,1.2256697813669841,0.02785793940226237,0.6298238972713747,0.905004014280086,True,2,6,500,"{'bootstrap': True, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 500}",16,0.6503407501582077,0.9029285882009594,0.7286997695060091,0.8926115966440709,0.5084739143610304,0.9194718579952279,0.07772614994923846,0.0015483878998124702,0.09095625440867397,0.01106342186428034
24,0.027188460032145183,0.001000801722208659,0.5891776090499775,0.8730949437892036,True,3,2,10,"{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 10}",32,0.6227535332719012,0.8687284916631878,0.712793820518419,0.8723503635395744,0.429408553102393,0.8782059761648483,0.006146671804072155,1.1239159602905075e-07,0.11796496208853523,0.003904824189888465
25,0.11709475517272949,0.0030024051666259766,0.6107728782704201,0.8939586698518079,True,3,2,50,"{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}",30,0.6339191046407713,0.8959867890744327,0.7036976344457638,0.8808857135172423,0.4927990927321731,0.905003506963749,0.005358502782433562,1.9466795466607238e-07,0.08753605160206322,0.009949939392377385
26,0.22486750284830728,0.0060053666432698565,0.6290450732689853,0.8909996660629763,True,3,2,100,"{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",17,0.6637656898733906,0.8909898513480272,0.7208209204895653,0.8764453044325513,0.5004748969222791,0.9055638424083506,0.016569276755750813,0.0008178974134600434,0.093152127849159,0.011887595375249757
27,1.0996557871500652,0.024018128712972004,0.6369164137766569,0.8935085981931558,True,3,2,500,"{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 500}",8,0.6643274428970509,0.8930787553033507,0.7308702332059362,0.8815345187888226,0.5135619775458413,0.9059125204872938,0.058897067472044755,0.0008163401162477518,0.09070515896946557,0.009956917708645333
28,0.02035069465637207,0.0008343855539957682,0.5830823738354788,0.8850795958157863,True,3,4,10,"{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 10}",34,0.5644086769591554,0.8938173425825018,0.6993726722491634,0.8717483529173009,0.4838655001417673,0.8896730919475564,0.0004710346270934845,0.00023546047415215737,0.08885323392461365,0.00957723798893764
29,0.11016281445821126,0.0033361117045084634,0.6227138219579011,0.8908306550473206,True,3,4,50,"{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}",22,0.6422162819213423,0.8922258521576483,0.748050911525634,0.8778180761077737,0.47549985358195374,0.9024480368765396,0.004218406024134077,0.0004719323117259841,0.11197375376526708,0.010103420975103328
30,0.19466392199198404,0.0048376719156901045,0.6278465924310049,0.8931641806255932,True,3,4,100,"{'bootstrap': True, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",19,0.647598023547412,0.8923335829618515,0.7162390413201141,0.8814608246720397,0.5179298619335949,0.9056981342428883,0.0017850565863208403,0.0002363038318021353,0.08205437476838882,0.00991225548391306
