,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
27,1.1008568286895752,0.027822995185852052,0.531982225090582,0.8310502885345041,3,1,2,500,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",62,-0.5379293608528337,0.8209440078795059,0.3360373979685237,0.8275317452372739,0.5811286774451238,0.8410895522223525,0.8616525388167999,0.8287124922387189,0.5785576934909925,0.8410010413811151,0.8400993015692705,0.8285049699395994,0.9264778338595887,0.8207043329586711,0.6370341506448347,0.8390596377564773,0.26357560594464424,0.840956744032548,0.8492119109184396,0.8219983616987795,0.024857585966033532,0.004604014365588303,0.4172787828726181,0.008231214996593066
28,0.025371074676513672,0.001000356674194336,0.5391095215427176,0.8273739635284023,3,1,3,10,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 10}",54,-0.4978447499605139,0.8312473201160622,0.2891590334301751,0.8204183117326789,0.5902417176516707,0.83889767699227,0.8639666843284257,0.822219550428122,0.5689524175860686,0.8443775125221163,0.8548180079870614,0.8236894956187024,0.9331500563941632,0.8119037080411156,0.6343365986428503,0.8353278861718243,0.3143001584033459,0.8393951845713752,0.8563052246299506,0.806262989089756,0.004945511484145785,0.00022376232844036303,0.4089151161614772,0.01190890674703638
29,0.11704940795898437,0.0031025886535644533,0.5443482279921594,0.8302020441830512,3,1,3,50,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 50}",53,-0.4961138846760575,0.8255294366939654,0.3257214852908328,0.8243531025383133,0.5880264131973267,0.839862884773906,0.8585312084167424,0.8267078217201015,0.5788671452116063,0.8403948093547673,0.8336253987907136,0.8268621453384783,0.9195906808354761,0.8209264450007394,0.652965371520027,0.8411110966393733,0.33903010056552485,0.8403224372932554,0.8591761943816746,0.8159502624776122,0.009038280051674038,0.0008315270939530769,0.40248411560220754,0.008872496835508453
30,0.23508861064910888,0.006406092643737793,0.5294880374066383,0.8305921364575874,3,1,3,100,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",65,-0.5191276405385636,0.8258012509673026,0.31045784545967925,0.8287597251655141,0.5856609418970792,0.8407607011881788,0.8531726968444624,0.8250554309975617,0.5784492239170502,0.8401115671067443,0.844744910974186,0.826967877754899,0.9133540293247486,0.8214322133334984,0.6382840347355299,0.8391074364657346,0.2612557573063605,0.8364575916313396,0.84467472439765,0.8214675699651015,0.01800569812658055,0.002710922241456015,0.41206658088445636,0.007336182562633171
31,1.0997772216796875,0.024619746208190917,0.5332621096891086,0.8314326484486895,3,1,3,500,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",59,-0.5283432460558752,0.8244147793336646,0.33664575392362306,0.8272855992078401,0.5857539735327466,0.842921664544596,0.86043414717916,0.8269144106091476,0.5805255954974112,0.8406344025762935,0.8444498167094473,0.8283614452365549,0.92496200465579,0.8205285947051134,0.6346585513617411,0.8389592934859302,0.26321607154562177,0.8435706094753481,0.8462452856491484,0.8207356853124051,0.019537752711490462,0.0030340948926471543,0.4146719026347649,0.008661806557101978
32,0.02297215461730957,0.001201295852661133,0.5486935576687205,0.8286509040359468,3,2,2,10,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",49,-0.39164166427796787,0.831005286724729,0.3466484068225848,0.8256290398935687,0.6571739411770912,0.8413199094257457,0.8667964589198602,0.8300967063719256,0.57444514147995,0.8337855566328259,0.8381130756731123,0.8222164971294011,0.9020512589430022,0.8123374708018385,0.6547941414206119,0.8372871487732928,0.2150706218969881,0.8333459071419661,0.8379447056799826,0.8194855174641732,0.0032831298860168754,0.0004591820542941053,0.38230037248615883,0.008317423065192541
33,0.11044464111328126,0.0034024715423583984,0.5278159362442024,0.8318674518594369,3,2,2,50,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",69,-0.48679992332011945,0.8330705985082982,0.3581688073211067,0.8249375512446518,0.597197721191403,0.8423657263565891,0.8506307035336211,0.8243271247748538,0.578597988763385,0.8383272448429512,0.8470848986834142,0.830570127552739,0.9242069246329734,0.8227299018159057,0.6390395039276409,0.8390555416723559,0.14063368375562146,0.8444893322192242,0.8443897246933254,0.8188013696067995,0.006355145642018174,0.0015627217925540443,0.41236828185944185,0.008515580927348556
34,0.2214334487915039,0.005454397201538086,0.5318728899368417,0.8308078307855217,3,2,2,100,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",63,-0.5383104217864714,0.8224762075488328,0.3451515947958893,0.8257110241005328,0.5910089518032855,0.8419591358375729,0.8631279305542473,0.8282666066685735,0.5847027863658514,0.8420333183171292,0.8424449024894604,0.8235672494359452,0.9255077380590404,0.819968414740178,0.6361021245662426,0.8400806833572225,0.2451905092583777,0.8441210606568099,0.8397129681595096,0.819894607192421,0.009317429587756006,0.0008208901542184157,0.41784126225497914,0.009510308464714373
35,1.1085731983184814,0.025019359588623048,0.5333960885344131,0.831406123193468,3,2,2,500,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",58,-0.5311670997731526,0.823873256268686,0.3409330826586848,0.8260861287750136,0.5810350089722801,0.8412188108169192,0.8614230921918116,0.8274305109853273,0.5857875982837989,0.8409040722634316,0.8400518959531522,0.8296703949798272,0.9229363040384708,0.8221553914504245,0.6402024982032958,0.8397951674671522,0.26407263460768415,0.8430907001312953,0.8445975941851093,0.8198367987966029,0.034139509604994865,0.0039013399876689754,0.41472657524828516,0.008465785559146595
36,0.024769806861877443,0.0009505748748779297,0.4947422251413928,0.8263646542027697,3,2,3,10,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 10}",72,-0.5828058491479366,0.8182014362302326,0.19414246898743104,0.8246621952320135,0.5736681113923041,0.8377352060336912,0.8491459353677249,0.8238611968483989,0.600156317327311,0.8319057472347926,0.8159070334101092,0.8201990685631434,0.9043315917402193,0.8171332466551613,0.6420279222433918,0.8345285857793101,0.13069456057989903,0.8375824010675204,0.837599068759592,0.8178374583834329,0.004072694061011492,0.00035013526197626914,0.4413624458804402,0.007900828928078368
